workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.imageIDs	Answer.imageCategories	Answer.stateRatings	Answer.probsSad	Answer.probsDisgusted	Answer.probsAngry	Answer.probsNeutral	Answer.probsContent	Answer.probsHappy	Answer.probsExcited
11	M	35	4	English	1,2,3,4,5,6,7,8,9	2,4,1,3,6,5,9,8,7	amazing,ok,amazing,amazing,ok,ok,terrible,terrible,terrible	5,3,5,5,4,3,2,2,1	0.03,0.31,0.05,0.09,0.08,0.25,0.63,0.75,0.8	0.03,0.17,0.01,0.06,0.14,0.28,0.67,0.73,0.79	0.01,0.24,0.04,0.05,0.12,0.21,0.59,0.58,0.93	0.28,0.51,0.15,0.1,0.29,0.43,0.26,0.28,0.05	0.16,0.24,0.22,0.15,0.41,0.46,0.28,0.36,0.27	0.83,0.36,0.91,0.92,0.67,0.39,0.09,0.09,0.06	0.83,0.34,0.8,0.79,0.53,0.38,0.22,0.23,0.11
12	M	25	4	english	1,2,3,4,5,6,7,8,9	9,6,7,4,5,8,1,2,3	terrible,ok,terrible,ok,ok,terrible,amazing,amazing,amazing	1,4,1,3,4,3,5,5,5	0.44,0.05,0.71,0.37,0.27,0.29,0.03,0.05,0.04	0.26,0.32,0.74,0.43,0.24,0.63,0.08,0.04,0.03	0.35,0.05,0.45,0.44,0.45,0.39,0.03,0.06,0.03	0.44,0.55,0.52,0.36,0.58,0.78,0.76,0.94,0.56	0.36,0.51,0.48,0.44,0.48,0.49,0.74,0.94,0.98	0.38,0.69,0.47,0.36,0.6,0.66,0.96,0.93,0.98	0.24,0.53,0.3,0.44,0.45,0.44,0.83,0.93,0.97
13	F	45	0	English	1,2,3,4,5,6,7,8,9	4,2,3,1,7,9,5,8,6	ok,amazing,amazing,amazing,terrible,terrible,ok,terrible,ok	3,5,4,4,2,2,3,3,3	0.52,0.3,0.17,0.21,0.51,0.52,0.58,0.59,0.39	0.13,0.06,0.06,0.04,0.64,0.65,0.07,0.33,0.09	0.12,0.06,0.06,0.04,0.21,0.25,0.07,0.15,0.09	0.77,0.3,0.32,0.42,0.35,0.25,0.77,0.52,0.76	0.62,0.85,0.86,0.81,0.2,0.25,0.49,0.4,0.58	0.52,0.86,0.78,0.68,0.2,0.18,0.43,0.22,0.4	0.52,0.74,0.6,0.52,0.08,0.14,0.31,0.24,0.39
14	M	35	4	English	1,2,3,4,5,6,7,8,9	1,2,7,5,6,4,9,3,8	amazing,amazing,terrible,ok,ok,ok,terrible,amazing,terrible	5,5,2,4,5,3,1,5,3	0,0,0.9,0.01,0.01,0.03,0.95,0.02,0.03	0,0,0.78,0,0,0.02,0.89,0,0	0,0,0.71,0,0,0.02,0.76,0,0	0,0,0.26,0.01,0.01,0.86,0,0.02,1	1,1,0.03,0.95,0.95,0.68,0.01,0.99,0.03	1,1,0,0.91,0.97,0.72,0,0.99,0.03	1,1,0,0.97,0.98,0.78,0,0.99,0.02
15	F	65	0	English	1,2,3,4,5,6,7,8,9	8,9,2,7,3,6,5,4,1	terrible,terrible,amazing,terrible,amazing,ok,ok,ok,amazing	3,2,5,1,5,5,4,4,5	0.22,0.72,0,0.93,0.09,0.04,0.06,0.08,0.1	0,0.76,0,0.73,0.1,0.04,0.06,0.06,0.12	0,0.39,0,0.23,0.09,0.04,0.06,0.08,0.11	0.22,0.49,0,0.23,0.09,0.04,0.06,0.08,0.12	0.59,0.42,1,0.31,1,1,0.66,0.86,1	0.21,0.07,1,0.01,1,1,0.65,0.85,0.99	0,0,0.98,0,1,1,0.66,0.85,1
16	F	45	8	English	1,2,3,4,5,6,7,8,9	9,3,6,4,5,8,7,2,1	terrible,amazing,ok,ok,ok,terrible,terrible,amazing,amazing	2,5,4,4,3,2,1,4,5	0.37,0,0,0.09,0,0.22,0.26,0.1,0	0.05,0.03,0,0.01,0,0,0.02,0,0	0.07,0.03,0,0.03,0.02,0.1,0.16,0.21,0	0.56,0.39,0.29,0.64,0.63,0.29,0.41,0.44,0.42	0.58,1,0.87,0.69,0.75,0.47,0.28,0.39,0.73	0.48,1,0.77,0.89,0.65,0.39,0.26,0.51,0.86	0.29,1,0.8,0.88,0.41,0.64,0.19,0.29,0.48
17	M	35	4	English	1,2,3,4,5,6,7,8,9	4,1,6,3,7,2,8,9,5	ok,amazing,ok,amazing,terrible,amazing,terrible,terrible,ok	3,5,4,5,1,5,2,1,4	0.22,0.02,0.01,0.02,0.6,0.02,0.44,0.82,0.15	0.1,0.01,0.01,0.01,0.67,0.01,0.32,0.71,0.09	0.1,0.02,0.02,0.02,0.58,0.02,0.45,0.64,0.1	0.37,0.17,0.31,0.01,0.22,0.12,0.43,0.28,0.51	0.57,0.91,0.82,0.89,0.15,0.83,0.35,0.16,0.74	0.58,0.97,0.9,0.98,0.2,0.97,0.29,0.16,0.84	0.25,0.97,0.74,0.98,0.07,0.85,0.23,0.13,0.68
18	M	25	6	English	1,2,3,4,5,6,7,8,9	6,5,2,9,4,1,7,3,8	ok,ok,amazing,terrible,ok,amazing,terrible,amazing,terrible	4,4,5,2,3,5,1,5,2	0.32,0.06,0.12,0.55,0.5,0.02,0.58,0.04,0.59	0.16,0.08,0.1,0.83,0.48,0.2,0.73,0.19,0.68	0.14,0.07,0.01,0.46,0.22,0.14,0.69,0.2,0.05	0.61,0.49,0.38,0.33,0.67,0.14,0.07,0.31,0.19	0.6,0.34,0.62,0.24,0.62,0.75,0.09,0.57,0.57	0.38,0.72,0.9,0.1,0.1,0.83,0.03,0.83,0.08	0.06,0.56,0.72,0.49,0.1,0.69,0.13,0.62,0.31
19	M	45	8	english	1,2,3,4,5,6,7,8,9	9,3,8,4,2,6,7,5,1	terrible,amazing,terrible,ok,amazing,ok,terrible,ok,amazing	2,5,3,4,5,4,1,4,5	0.54,0.05,0.28,0.16,0.11,0.15,0.44,0.25,0.57	0.32,0.02,0.19,0.06,0.06,0.07,0.66,0.19,0.19	0.34,0,0.19,0.03,0.09,0.03,0.44,0.45,0.3	0.24,0.04,0.65,0.39,0.21,0.18,0.34,0.47,0.4	0.37,0.98,0.59,0.59,0.86,0.67,0.09,0.66,0.58	0.45,1,0.48,0.57,0.91,0.66,0.28,0.58,0.44	0.35,0.95,0.34,0.64,0.67,0.64,0.11,0.6,0.45
20	M	25	8	English	1,2,3,4,5,6,7,8,9	1,3,9,7,4,8,5,6,2	amazing,amazing,terrible,terrible,ok,terrible,ok,ok,amazing	5,5,1,1,3,4,4,5,5	0,0,0.74,0.54,0.35,0.27,0.1,0,0	0,0,0.46,0.49,0.33,0.09,0.05,0,0	0,0,0.59,0.71,0.33,0.21,0.11,0,0	0,0,0.15,0.14,0.22,0.65,0.53,0.26,0.12	0.82,0.86,0.18,0,0.26,0.43,0.7,0.69,0.86	0.78,0.8,0,0.05,0.12,0.32,0.41,0.56,0.75	0.72,0.64,0.01,0.01,0.06,0.21,0.34,0.35,0.58
21	M	45	6	English	1,2,3,4,5,6,7,8,9	2,1,8,5,7,3,6,4,9	amazing,amazing,terrible,ok,terrible,amazing,ok,ok,terrible	5,5,3,4,2,5,4,4,2	0.18,0.15,0.19,0.13,0.22,0.13,0.16,0.2,0.2	0.1,0.1,0.12,0.1,0.15,0.06,0.1,0.07,0.09	0.13,0.06,0.14,0.1,0.18,0.02,0.12,0.1,0.14	0.34,0.32,0.44,0.48,0.34,0.4,0.41,0.51,0.39	0.63,0.71,0.53,0.55,0.29,0.54,0.51,0.61,0.44	0.83,0.83,0.62,0.81,0.61,0.9,0.81,0.82,0.58	0.79,0.86,0.52,0.72,0.46,0.8,0.78,0.81,0.63
22	M	35	11	English	1,2,3,4,5,6,7,8,9	5,4,1,9,8,6,7,2,3	ok,ok,amazing,terrible,terrible,ok,terrible,amazing,amazing	4,4,5,1,2,4,1,5,5	0.35,0.02,0,0.86,0.71,0.02,0.75,0.01,0.01	0.01,0.02,0,0.68,0.08,0.01,0.35,0.01,0.01	0.16,0.02,0,0.64,0.32,0.02,0.82,0.01,0.01	0.81,0.49,0.48,0.11,0.22,0.39,0.47,0.21,0.22	0.79,0.97,0.99,0.09,0.32,0.87,0.11,0.8,0.73	0.52,0.77,0.99,0.01,0.19,0.88,0.12,0.92,0.96	0.51,0.65,0.89,0.01,0.06,0.65,0.12,0.88,0.97
23	F	25	4	English	1,2,3,4,5,6,7,8,9	6,9,7,2,1,8,4,5,3	ok,terrible,terrible,amazing,amazing,terrible,ok,ok,amazing	5,1,2,5,5,3,3,4,5	0.02,0.88,0.65,0,0.02,0.59,0.31,0.01,0.02	0.02,0.93,0.24,0.02,0.02,0.24,0.1,0.01,0.02	0.02,0.8,0.64,0.02,0.02,0,0.03,0.01,0.02	0.24,0.53,0.07,0.14,0.58,0.9,0.97,0.71,0.03	0.96,0.57,0.46,0.93,0.96,0.84,0.87,0.96,1	0.83,0.17,0.34,0.85,1,0.3,0.12,0.75,0.97	0.74,0.33,0.56,0.92,0.78,0.02,0.07,0.17,0.97
24	M	35	4	english	1,2,3,4,5,6,7,8,9	9,7,2,6,4,5,1,3,8	terrible,terrible,amazing,ok,ok,ok,amazing,amazing,terrible	1,1,5,3,3,3,4,5,1	0.48,0.44,0.03,0.1,0.09,0.07,0.04,0.05,0.22	0.73,0.74,0.05,0.1,0.08,0.07,0.1,0.04,0.43	0.83,0.8,0.05,0.11,0.11,0.11,0.05,0.05,0.33	0.18,0.1,0.16,0.88,0.85,0.92,0.19,0.16,0.16	0.16,0.06,0.76,0.34,0.27,0.43,0.68,0.62,0.08	0.09,0.1,0.61,0.22,0.16,0.18,0.54,0.78,0.09	0.1,0.04,0.69,0.08,0.05,0.07,0.14,0.37,0.07
25	F	35	10	English	1,2,3,4,5,6,7,8,9	3,1,9,6,2,8,4,5,7	amazing,amazing,terrible,ok,amazing,terrible,ok,ok,terrible	5,5,2,3,5,3,2,3,1	0.25,0.2,0.73,0.35,0.05,0.65,0.58,0.35,0.7	0.03,0,0.65,0.3,0.11,0.51,0.51,0.35,0.91	0.09,0.13,0.77,0.29,0.06,0.37,0.53,0.35,0.81	0.17,0.22,0.52,0.8,0.1,0.84,0.84,0.97,0.21	0.87,0.89,0.22,0.55,0.96,0.28,0.23,0.44,0.12	0.79,0.7,0.29,0.48,0.86,0.14,0.28,0.43,0.22	0.68,0.65,0.25,0.28,0.92,0.23,0.34,0.37,0.17
26	F	65	4	English	1,2,3,4,5,6,7,8,9	4,9,5,6,7,1,3,8,2	ok,terrible,ok,ok,terrible,amazing,amazing,terrible,amazing	4,2,4,4,1,4,4,3,5	0.14,0.78,0.22,0.04,0.98,0.01,0.03,0.27,0.01	0.13,0.87,0.01,0.01,0.99,0.02,0.02,0.4,0.01	0.14,0.78,0.22,0.03,0.99,0.01,0.02,0.05,0.01	0.61,0.28,0.51,0.49,0.01,0.53,0.51,0.63,0.44	0.55,0.25,0.7,0.87,0.02,0.98,0.93,0.32,0.99	0.78,0.01,0.68,0.99,0.01,0.86,0.94,0.37,0.99	0.75,0.02,0.68,0.88,0.01,0.8,0.91,0.33,0.99
27	F	45	11	English	1,2,3,4,5,6,7,8,9	8,2,1,3,6,5,4,7,9	terrible,amazing,amazing,amazing,ok,ok,ok,terrible,terrible	4,5,5,5,4,4,3,1,1	0.31,0.09,0.03,0.06,0.04,0.16,0.33,0.89,0.73	0.13,0.1,0.03,0.02,0.04,0.16,0.02,0.82,0.75	0.08,0.02,0.03,0.03,0.01,0.15,0.03,0.76,0.74	0.47,0,0.03,0.02,0.48,0.64,0.03,0.14,0.14	0.76,0.97,0.97,0.97,0.72,0.73,0.31,0.11,0.12	0.72,0.97,0.96,0.97,0.69,0.74,0.38,0.14,0.13	0.69,0.97,0.96,0.98,0.47,0.17,0.03,0.1,0.13
28	M	35	4	English	1,2,3,4,5,6,7,8,9	6,9,4,7,1,5,2,3,8	ok,terrible,ok,terrible,amazing,ok,amazing,amazing,terrible	4,1,3,2,5,4,5,5,2	0.03,0.48,0.03,0.46,0.01,0.02,0.02,0.03,0.69	0.03,0.48,0.03,0.25,0.01,0.03,0.01,0.06,0.04	0.05,0.24,0.02,0.29,0.02,0.01,0.03,0.03,0.08	0.24,0.03,0.91,0.01,0.06,0.3,0.04,0.01,0.17	0.71,0.03,0.44,0.27,0.76,0.47,0.82,0.75,0.29	0.5,0.05,0.04,0.03,0.74,0.39,0.82,0.79,0.35	0.5,0.01,0.06,0.12,0.72,0.51,0.8,0.79,0.03
29	F	25	4	English	1,2,3,4,5,6,7,8,9	7,8,3,9,6,2,4,5,1	terrible,terrible,amazing,terrible,ok,amazing,ok,ok,amazing	2,4,5,3,4,5,4,4,5	0.5,0.2,0.17,0.46,0.24,0.07,0.48,0.46,0.29	0.23,0.15,0.07,0.11,0.05,0.06,0.26,0.06,0.06	0.48,0.04,0.04,0.11,0.05,0.05,0.12,0.07,0.06	0.68,0.7,0.86,0.76,0.83,0.82,0.45,0.51,0.6	0.69,0.7,0.88,0.67,0.89,0.9,0.71,0.69,0.74	0.47,0.73,0.8,0.51,0.85,0.91,0.51,0.63,0.84	0.49,0.4,0.74,0.24,0.49,0.52,0.45,0.49,0.47
30	F	35	4	English	1,2,3,4,5,6,7,8,9	9,4,7,3,5,6,2,1,8	terrible,ok,terrible,amazing,ok,ok,amazing,amazing,terrible	1,4,1,5,4,4,5,5,2	1,0.07,1,0,0.01,0,0,0,0.54	0.73,0.06,1,0,0,0,0,0,0.17	0.53,0.07,0.85,0,0,0,0,0,0.12	0,0.33,0,0,0.39,0,0.01,0,0.17	0.01,0.9,0,0.99,0.86,1,1,1,0	0.01,0.54,0.01,1,0.81,0.87,1,1,0	0,0.2,0,1,0.46,0.35,0.91,0.99,0
31	M	35	4	english	1,2,3,4,5,6,7,8,9	8,2,6,5,1,3,4,9,7	terrible,amazing,ok,ok,amazing,amazing,ok,terrible,terrible	1,5,3,4,5,5,4,1,1	1,0,0.19,0.04,0,0,0.17,1,1	1,0,0.17,0.03,0,0,0.06,1,1	1,0,0.15,0.05,0,0,0.03,1,1	0,0,1,0.84,0,0.28,0.48,0,0	0,1,0.43,0.53,1,1,0.78,0,0	0,1,0.52,0.48,1,1,0.42,0,0	0,1,0.29,0.49,1,1,0.54,0,0
32	F	45	8	English	1,2,3,4,5,6,7,8,9	2,1,7,4,8,9,5,3,6	amazing,amazing,terrible,ok,terrible,terrible,ok,amazing,ok	5,4,2,3,4,2,5,5,4	0.08,0.08,0.6,0.62,0.56,0.55,0.09,0.06,0.11	0.09,0.07,0.7,0.07,0.08,0.61,0.07,0.06,0.07	0.09,0.12,0.72,0.3,0.26,0.71,0.07,0.08,0.1	0.52,0.51,0.37,0.48,0.49,0.31,0.18,0.11,0.39	0.85,0.85,0.21,0.7,0.76,0.23,0.64,0.58,0.85	0.8,0.91,0.23,0.43,0.69,0.27,0.87,0.87,0.87	0.77,0.68,0.42,0.42,0.65,0.16,0.74,0.88,0.69
33	F	35	4	english	1,2,3,4,5,6,7,8,9	1,5,2,4,7,3,8,6,9	amazing,ok,amazing,ok,terrible,amazing,terrible,ok,terrible	5,3,4,2,1,5,2,3,1	0.04,0.22,0,0.55,0.83,0.03,0.15,0.19,0.97	0,0.26,0.11,0.1,0.92,0.02,0.56,0.23,0.84	0.01,0.07,0.03,0.31,0.96,0.02,0.25,0.01,0.96	0.61,0.41,0.74,0.53,0.16,0.66,0.29,0.47,0.03	0.58,0.46,0.9,0.55,0.08,0.05,0.39,0.49,0.04	0.77,0.23,0.72,0.23,0.03,0.99,0.11,0.24,0.02	1,0.2,0.64,0.12,0.04,0.99,0.09,0.24,0.14
34	F	45	11	English	1,2,3,4,5,6,7,8,9	6,4,2,5,9,7,8,1,3	ok,ok,amazing,ok,terrible,terrible,terrible,amazing,amazing	5,4,5,3,2,1,3,5,5	0.01,0.2,0.01,0.48,0.53,0.34,0.02,0.01,0.02	0.01,0.02,0.01,0.16,0.02,0.58,0,0.02,0.02	0.01,0.02,0.01,0.21,0.21,0.07,0.01,0.01,0.01	0.01,0.47,0.02,0.83,0.25,0.02,0.97,0.02,0.02	0.02,0.48,0.99,0.65,0.14,0.02,0.38,0.99,0.99	0.99,0.48,0.99,0.49,0.01,0.02,0.13,0.99,0.98	1,0.47,0.99,0.48,0.01,0.02,0.16,0.99,0.99
35	F	45	8	English	1,2,3,4,5,6,7,8,9	1,9,6,3,8,7,5,2,4	amazing,terrible,ok,amazing,terrible,terrible,ok,amazing,ok	5,1,4,5,3,2,3,5,2	0.01,0.48,0,0.02,0.54,0.01,0,0,0.47	0,0.48,0,0,0.25,0.01,0,0,0	0.01,0.48,0.02,0,0.14,0.48,0,0,0.33	0.51,0.02,0.47,0.46,0.47,0.13,0.67,0.34,0.44	1,0.48,0.48,0.48,0.52,0.5,0.5,0.47,0.47	0.98,0.48,0.48,0.62,0.48,0.49,0.51,0.83,0.32	0.48,0.49,0.48,0.49,0.33,0.49,0.06,0.45,0
36	F	35	10	English	1,2,3,4,5,6,7,8,9	7,6,5,8,4,1,3,2,9	terrible,ok,ok,terrible,ok,amazing,amazing,amazing,terrible	2,5,5,4,5,5,5,5,3	0.25,0.02,0.02,0.48,0,0.02,0.01,0.01,0.51	0.98,0.01,0.01,0.49,0.02,0.02,0.01,0.01,0.51	0.21,0.01,0.02,0.47,0.01,0.02,0.02,0.01,0.52	0.47,0.4,0.01,0.48,0.05,0.99,0.98,0.98,0.51	0.26,0.98,0.98,0.46,0.68,0.99,1,0.98,0.51	0.26,0.98,0.98,0.49,0.99,0.98,0.98,0.98,0.53	0.24,0.99,0.98,0.47,0.97,0.96,0.98,0.99,0.51
37	M	45	8	english	1,2,3,4,5,6,7,8,9	3,1,4,5,2,8,7,6,9	amazing,amazing,ok,ok,amazing,terrible,terrible,ok,terrible	5,5,3,4,5,2,1,5,1	0,0,0.5,0.13,0,0.67,0.94,0,1	0,0,0.5,0.13,0,0.52,0.94,0,0.93	0,0,0.5,0.13,0,0.67,0.94,0,0.89	0,0.52,0.79,0.66,0.52,0.19,0.51,0.52,0.25	1,1,0.61,0.87,1,0.37,0,1,0.06	1,1,0.5,0.67,1,0.3,0.22,1,0.05	1,1,0.2,0.35,1,0.2,0.31,0.93,0.05
38	M	25	4	English	1,2,3,4,5,6,7,8,9	8,5,2,1,3,7,6,9,4	terrible,ok,amazing,amazing,amazing,terrible,ok,terrible,ok	2,4,5,5,5,1,3,1,2	0.08,0.06,0.05,0.05,0.02,0.54,0.08,0.39,0.23	0.06,0.06,0.04,0.05,0.07,0.63,0.05,0.4,0.18	0.27,0.07,0.02,0.01,0.04,0.52,0.2,0.07,0.22	0.12,0.07,0.05,0.03,0.05,0.06,0.47,0.19,0.14	0.09,0.75,0.88,0.91,0.88,0.03,0.73,0.2,0.16	0.16,0.74,0.94,0.95,0.96,0.06,0.49,0.19,0.14	0.14,0.74,0.96,0.95,0.95,0.05,0.47,0.19,0.15
39	F	45	4	English	1,2,3,4,5,6,7,8,9	2,3,9,6,1,5,7,8,4	amazing,amazing,terrible,ok,amazing,ok,terrible,terrible,ok	5,5,2,4,5,5,3,3,4	0.08,0.01,0.55,0.09,0.04,0.02,0.18,0.25,0.11	0.11,0.02,0.48,0.1,0.06,0.04,0.19,0.25,0.21	0.1,0.02,0.23,0.1,0.05,0.05,0.15,0.14,0.09	0.45,0.23,0.39,0.45,0.42,0.13,0.43,0.48,0.45	0.59,0.88,0.41,0.49,0.42,0.72,0.44,0.42,0.54	0.86,0.92,0.1,0.47,0.82,0.76,0.4,0.43,0.52	0.8,0.92,0.12,0.53,0.76,0.77,0.37,0.38,0.59
40	M	65	4	english	1,2,3,4,5,6,7,8,9	4,3,6,9,5,8,7,2,1	ok,amazing,ok,terrible,ok,terrible,terrible,amazing,amazing	3,5,4,1,4,2,1,5,4	0.15,0.01,0.01,0.75,0.05,0.53,0.27,0,0.02	0.09,0.01,0.01,0.07,0.05,0.06,0.48,0,0.02	0.08,0.09,0.04,0.17,0.01,0.04,0.28,0.02,0.01	0.88,0.11,0.24,0.1,0.75,0.35,0.06,0.05,0.1	0.71,0.88,0.88,0.11,0.52,0.17,0.13,0.91,0.93	0.52,0.82,0.64,0.28,0.63,0.35,0.17,0.82,0.78	0.19,0.89,0.54,0.1,0.26,0.23,0.12,0.72,0.6
