workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.imageIDs	Answer.imageCategories	Answer.utterances	Answer.ironyRatings	Answer.stateRatings	Answer.probsSad	Answer.probsDisgusted	Answer.probsAngry	Answer.probsNeutral	Answer.probsContent	Answer.probsHappy	Answer.probsExcited
11	F	35	4	english	1,2,3,4,5,6,7,8,9	3,8,1,9,6,7,5,4,2	amazing,terrible,amazing,terrible,ok,terrible,ok,ok,amazing	good,terrible,terrible,bad,good,terrible,ok,good,terrible	0.82,0.86,0,0.93,0.76,0.73,0.27,0.81,1	4,1,3,2,4,1,3,4,4	0,0.18,0,0.08,0,0.5,0,0,0	0,0.71,0.89,0.77,0,0.96,0.02,0.03,0.87	0,0,0,0,0,0,0.01,0,0	0,0.88,1,0.99,0,0.82,1,0,0.89	0.96,0,0,0,0.86,0,0.54,0.98,0	0.99,0,0,0,0.81,0.03,0.45,0.81,0.01	0.72,0,0.02,0,0.2,0,0.02,0.2,0
12	F	35	8	English	1,2,3,4,5,6,7,8,9	7,9,8,1,3,6,2,5,4	terrible,terrible,terrible,amazing,amazing,ok,amazing,ok,ok	bad,good,ok,amazing,amazing,ok,good,bad,bad	0.08,0.84,0.42,0.03,0.01,0.42,0.19,0.85,0.56	4,2,3,5,5,3,4,2,2	0.54,0.19,0.3,0.03,0.02,0.14,0.01,0.73,0.68	0.42,0.16,0.24,0.01,0,0.3,0.01,0.83,0.72	0.42,0.24,0.15,0.05,0.04,0.14,0.06,0.72,0.77	0.7,0.48,0.49,0.27,0.15,0.86,0.16,0.48,0.62	0.19,0.77,0.52,0.99,0.98,0.61,0.99,0.04,0.07	0.22,0.76,0.58,0.99,0.98,0.67,0.97,0.05,0.13	0.19,0.76,0.47,0.99,0.98,0.57,0.98,0,0.09
13	F	25	4	english	1,2,3,4,5,6,7,8,9	6,7,2,9,5,8,4,1,3	ok,terrible,amazing,terrible,ok,terrible,ok,amazing,amazing	amazing,bad,bad,good,ok,amazing,ok,good,ok	0,0.03,0.99,1,0.23,0.97,0.43,0.08,0.72	4,1,5,2,3,2,3,4,5	0.01,0.65,0.03,0.57,0.35,0.66,0.4,0.07,0.02	0.03,0.33,0.02,0.55,0.03,0.4,0.27,0.09,0.12	0.06,0.44,0.04,0.49,0.18,0.21,0.1,0.08,0.03	0.21,0.29,0.05,0.39,0.47,0.44,0.28,0.08,0.03	0.58,0.33,0.9,0.36,0.35,0.3,0.09,0.51,0.94	0.61,0.22,0.91,0.26,0.48,0.26,0.11,0.63,0.93	0.59,0.55,0.92,0.28,0.19,0.11,0.11,0.51,0.94
14	M	45	8	English	1,2,3,4,5,6,7,8,9	3,1,5,9,6,7,8,2,4	amazing,amazing,ok,terrible,ok,terrible,terrible,amazing,ok	bad,bad,good,good,ok,terrible,good,ok,ok	0.85,0.95,0.64,0.97,0.62,0,0.62,0.6,0.5	2,2,4,4,3,1,4,3,3	0.66,0.68,0.14,0.19,0.31,0.78,0.1,0.36,0.38	0.67,0.75,0.19,0.18,0.25,0.86,0.25,0.25,0.41	0.72,0.69,0.11,0.17,0.41,0.73,0.17,0.26,0.28	0.52,0.24,0.37,0.43,0.51,0.4,0.46,0.75,0.69	0.12,0.19,0.75,0.76,0.34,0.07,0.73,0.41,0.54	0.23,0.14,0.71,0.22,0.47,0.09,0.77,0.47,0.34	0.15,0.2,0.67,0.77,0.51,0.06,0.75,0.47,0.46
15	F	65	0	English	1,2,3,4,5,6,7,8,9	8,7,3,2,9,6,1,4,5	terrible,terrible,amazing,amazing,terrible,ok,amazing,ok,ok	good,bad,good,amazing,ok,terrible,amazing,ok,bad	0.5,0,0.02,0,0.84,0.76,0,0.07,0.71	2,1,4,5,2,4,5,3,2	0.38,0.65,0.04,0.06,0.62,0.7,0.06,0.46,0.64	0.55,0.5,0.03,0.02,0.68,0.61,0.03,0.51,0.64	0.49,0.49,0.03,0.02,0.69,0.66,0.02,0.56,0.67	0.48,0.12,0.17,0.04,0.21,0.27,0.16,0.51,0.32	0.47,0.1,0.94,0.96,0.09,0.27,0.98,0.24,0.2	0.47,0.19,0.95,0.97,0.07,0.3,0.95,0.36,0.19	0.51,0.02,0.96,0.96,0.05,0.49,0.99,0.48,0.22
16	F	45	4	ENGLISH	1,2,3,4,5,6,7,8,9	6,2,7,8,1,9,5,4,3	ok,amazing,terrible,terrible,amazing,terrible,ok,ok,amazing	bad,terrible,amazing,amazing,amazing,good,good,ok,good	0.98,0.99,0.01,0.69,0.02,0.98,0.02,0.5,0.01	5,5,1,2,5,1,4,3,5	0.01,0.02,0.96,0.7,0.02,0.74,0.01,0.39,0.02	0.06,0,0.83,0.55,0.02,0.74,0.01,0.36,0.01	0.04,0.01,0.78,0.63,0.02,0.76,0.02,0.38,0.01	0.26,0.01,0.02,0.73,0.2,0.11,0.52,0.63,0.26	0.9,0.96,0.02,0.29,0.99,0.02,0.96,0.68,0.99	0.98,1,0.01,0.37,0.97,0.13,0.94,0.69,0.98	0.94,0.99,0.02,0.26,0.98,0.11,0.86,0.37,0.98
17	M	35	4	English	1,2,3,4,5,6,7,8,9	7,3,9,6,4,5,8,2,1	terrible,amazing,terrible,ok,ok,ok,terrible,amazing,amazing	ok,terrible,amazing,bad,amazing,terrible,good,ok,good	0.87,0.96,0.98,0.81,0.16,0.89,0.08,0.6,0.05	2,5,1,4,4,4,4,5,5	0.64,0.02,0.98,0.28,0.16,0.08,0.23,0.02,0.02	0.63,0.01,0.99,0.21,0.14,0.08,0.07,0.02,0.02	0.69,0.02,1,0.24,0.2,0.06,0.13,0.01,0.01	0.41,0.01,0,0.41,0.27,0.16,0.39,0.05,0.11	0.3,0.98,0,0.77,0.76,0.88,0.77,0.97,0.98	0.26,1,0,0.82,0.77,0.86,0.64,0.98,0.99	0.23,0.99,0.01,0.73,0.75,0.84,0.67,0.99,0.99
18	F	35	4	English	1,2,3,4,5,6,7,8,9	2,4,8,9,1,7,5,6,3	amazing,ok,terrible,terrible,amazing,terrible,ok,ok,amazing	amazing,good,terrible,ok,bad,bad,good,bad,amazing	0,1,0,1,1,0,0,1,0	5,3,3,1,5,1,4,4,5	0,0.01,0,0,0,0,0,0,0	0,0.01,0,0,1,0,0,1,0	0,0,0.52,0.01,1,0,0,1,0	0.01,0.99,1,1,0,0,0,0,0	0.98,0.01,0,0,0,0,1,0,1	0.99,0.01,0,0,0,0,1,0,1	1,0,0,0,0,0,1,0,1
19	F	35	4	english	1,2,3,4,5,6,7,8,9	6,2,7,8,4,5,1,3,9	ok,amazing,terrible,terrible,ok,ok,amazing,amazing,terrible	terrible,ok,good,bad,bad,ok,amazing,amazing,ok	0.6,0.11,0.9,0.07,0.4,0.13,0.05,0.05,0.88	4,5,1,2,3,4,5,5,1	0.86,0.09,0.19,0.45,0.79,0.18,0.06,0.08,0.23	0.81,0.09,0.14,0.53,0.73,0.11,0.04,0.05,0.06	0.25,0.18,0.17,0.43,0.56,0.18,0.08,0.07,0.15	0.48,0.23,0.32,0.24,0.38,0.75,0.12,0.07,0.69	0.38,0.77,0.56,0.29,0.05,0.68,0.95,0.83,0.61	0.09,0.57,0.7,0.07,0.2,0.47,0.85,0.92,0.45	0.52,0.51,0.43,0.18,0.16,0.3,0.87,0.96,0.22
20	F	55	11	English	1,2,3,4,5,6,7,8,9	8,9,7,1,3,5,6,4,2	terrible,terrible,terrible,amazing,amazing,ok,ok,ok,amazing	ok,good,ok,amazing,amazing,good,good,good,amazing	0.5,0.93,0.58,0.01,0.01,0.03,0.03,0.03,0.02	4,1,3,5,5,4,4,4,5	0.02,0.01,0.03,0.01,0.01,0.02,0.02,0.02,0.01	0.02,0.03,0.01,0,0.02,0.02,0.02,0,0.02	0.02,0.01,0.03,0.01,0.01,0,0.02,0.02,0.01	0.48,0.02,0.28,0.01,0.02,0.03,0.01,0.02,0.01	0.72,0.01,0.54,0.97,1,0.54,0.82,0.79,0.86	0.81,0.3,0.54,0.98,0.98,0.82,0.7,0.67,1	0.61,0.54,0.54,0.98,0.99,0.65,0.72,0.67,0.98
21	M	45	8	english	1,2,3,4,5,6,7,8,9	1,7,9,6,3,2,4,8,5	amazing,terrible,terrible,ok,amazing,amazing,ok,terrible,ok	terrible,bad,amazing,amazing,amazing,terrible,ok,terrible,amazing	0.99,0.02,0.99,0.02,0.01,0.98,0.16,0,0.02	5,1,1,5,5,5,4,2,4	0.02,0.51,0.53,0.01,0,0.01,0.01,0.7,0	0.01,0.53,0.49,0.01,0.02,0.02,0.05,0.51,0	0.02,0.51,0.51,0.01,0.02,0.01,0.12,0.6,0.01	0.01,0.02,0.49,0.02,0.02,0.01,0.48,0.02,0	0.98,0.01,0.12,0.98,0.99,0.98,0.79,0.17,1	0.98,0.1,0.02,1,0.98,0.98,0.63,0.34,0.9	0.98,0.51,0.02,0.98,0.98,0.99,0.52,0.02,0.88
22	F	35	4	English	1,2,3,4,5,6,7,8,9	6,4,7,3,2,8,5,9,1	ok,ok,terrible,amazing,amazing,terrible,ok,terrible,amazing	bad,good,bad,good,ok,good,terrible,ok,good	0.85,0.39,0,0,0.43,0.76,0.67,0.71,0.01	4,3,1,5,5,2,4,1,5	0.21,0.35,0.51,0,0,0.63,0.2,0.57,0.02	0.21,0.12,0.93,0,0,0.74,0,0.84,0.01	0.22,0.28,0.77,0,0.01,0.58,0,0.71,0.02	0.27,0.75,0.23,0.21,0.11,0.49,0.49,0.38,0.15	0.77,0.49,0.06,1,0.99,0.28,0.66,0.19,0.98	0.81,0.49,0.11,0.92,0.98,0.31,0.76,0.28,1	0.69,0.49,0.2,0.74,0.8,0.26,0.66,0.48,0.8
23	F	25	6	English	1,2,3,4,5,6,7,8,9	2,6,8,9,1,3,5,4,7	amazing,ok,terrible,terrible,amazing,amazing,ok,ok,terrible	amazing,good,ok,amazing,amazing,amazing,ok,amazing,good	0.01,0,0.87,0.99,0.02,0.01,0.03,0.75,0.97	5,4,2,1,5,5,4,2,1	0.03,0.31,0.59,0.53,0.03,0.01,0.2,0.4,0.54	0.02,0.02,0.61,0.62,0.02,0.01,0.02,0.01,0.69	0.02,0.01,0.61,0.53,0.02,0.03,0.01,0.32,0.71	0.46,0.99,0.8,0.74,0.75,0.75,0.75,0.83,0.74	0.98,0.97,0.68,0.39,0.98,1,0.98,0.68,0.42	0.99,0.75,0.19,0.2,0.99,0.84,0.63,0.2,0.28	0.98,0.56,0.01,0.21,0.57,0.64,0.51,0.21,0.24
24	F	25	4	English	1,2,3,4,5,6,7,8,9	1,7,8,3,4,9,5,6,2	amazing,terrible,terrible,amazing,ok,terrible,ok,ok,amazing	ok,terrible,terrible,good,good,good,terrible,terrible,ok	0.01,0.01,0.31,0.41,0.65,0.98,0.81,0.97,0.89	4,1,2,5,3,2,4,4,5	0.03,0.68,0.54,0.01,0.35,0.33,0.22,0.02,0.01	0.03,0.83,0.66,0.01,0.33,0.49,0.23,0.02,0.02	0.03,0.95,0.64,0,0.34,0.34,0.23,0.04,0.04	0.44,0.01,0.33,0.05,0.83,0.04,0.33,0.12,0.03	0.97,0.16,0.26,0.85,0.8,0.67,0.98,0.98,0.99	0.45,0.04,0.26,0.82,0.63,0.19,0.83,0.8,0.29	0.45,0.11,0.33,0.67,0.35,0.2,0.56,0.52,0.26
25	M	35	10	English	1,2,3,4,5,6,7,8,9	5,2,6,9,1,3,4,8,7	ok,amazing,ok,terrible,amazing,amazing,ok,terrible,terrible	ok,amazing,good,good,good,bad,good,ok,bad	0.44,0.03,0.09,0.96,0.01,0.97,0.2,0.71,0.05	3,5,4,2,4,2,3,2,1	0.23,0.02,0.03,0.27,0.15,0.19,0.36,0.56,0.78	0,0.02,0.03,0.59,0,0,0.14,0.87,0.85	0.01,0.02,0.02,0.51,0.01,0.03,0.35,0.32,0.76	0.99,0.01,0.03,0.29,0.47,0.47,0.46,0.46,0.12	0.58,0.98,0.81,0.41,0.71,0.83,0.43,0.5,0.11	0.49,0.98,0.76,0.41,0.75,0.81,0.53,0.47,0.09	0.37,0.98,0.8,0.27,0.64,0.79,0.76,0.14,0.13
26	F	45	4	Filipino	1,2,3,4,5,6,7,8,9	2,5,8,1,6,9,7,4,3	amazing,ok,terrible,amazing,ok,terrible,terrible,ok,amazing	ok,amazing,amazing,good,terrible,ok,bad,good,bad	0,0.03,0.97,0.01,0.68,0.97,0.03,0.5,0.98	5,5,2,4,4,1,1,3,5	0.02,0,0.72,0.03,0.03,0.97,1,0.45,0.03	0.01,0.01,0.27,0.01,0.06,0.04,0.83,0.19,0	0,0,0.22,0.01,0.04,0.09,0.84,0.3,0	0.02,0.01,0.3,0.03,0.04,0,0.02,0.42,0.03	0.99,0.98,0.12,0.97,0.74,0.04,0.02,0.45,0.98	0.98,0.97,0.21,0.98,0.89,0.05,0.03,0.41,0.98	0.99,0.97,0.09,0.98,0.8,0,0,0.43,1
27	F	35	4	English	1,2,3,4,5,6,7,8,9	5,8,6,4,2,3,9,1,7	ok,terrible,ok,ok,amazing,amazing,terrible,amazing,terrible	good,bad,bad,good,bad,good,bad,ok,good	0.14,0.01,0.94,0.02,0.99,0.01,0.01,0.31,0.98	5,1,4,4,5,5,1,4,1	0.01,0.74,0.08,0.01,0.01,0.01,0.62,0,0.26	0.01,0.74,0.12,0.06,0.01,0.01,0.69,0.01,0.5	0.01,0.47,0.03,0,0.03,0.01,0.19,0,0.04	0.09,0.07,0.29,0.2,0.28,0.07,0.03,0.5,0.08	0.94,0.03,0.65,0.79,0.86,0.99,0.09,0.62,0.47	0.99,0.01,0.7,0.63,0.85,0.99,0.13,0.53,0.38	0.95,0.03,0.41,0.18,0.89,0.92,0.02,0.41,0.59
28	F	35	4	English	1,2,3,4,5,6,7,8,9	7,9,6,1,4,3,2,8,5	terrible,terrible,ok,amazing,ok,amazing,amazing,terrible,ok	good,good,bad,good,amazing,good,ok,amazing,amazing	0.98,0.95,0.96,0.02,0.23,0.02,0.78,0.94,0.17	2,1,5,4,3,5,5,3,4	0.13,0.27,0.08,0.06,0.16,0.05,0.04,0.34,0.04	0.31,0.44,0.07,0.06,0.07,0.03,0.02,0.55,0.1	0.05,0.05,0.06,0.08,0.14,0.03,0.04,0.36,0.04	0.64,0.35,0.56,0.56,0.67,0.32,0.17,0.87,0.77	0.09,0.06,0.68,0.68,0.68,0.71,0.73,0.19,0.78	0.86,0.09,0.86,0.83,0.42,0.85,0.84,0.45,0.86	0.15,0.1,0.42,0.2,0.12,0.4,0.6,0.22,0.41
29	M	45	6	English	1,2,3,4,5,6,7,8,9	5,8,7,4,2,9,3,6,1	ok,terrible,terrible,ok,amazing,terrible,amazing,ok,amazing	terrible,good,good,good,amazing,terrible,bad,amazing,amazing	0.5,0.68,1,0.17,0,0,1,0.16,0.01	1,2,1,4,5,1,5,4,5	0.52,0.65,0.69,0.02,0,0.8,0.12,0,0	0.71,0.4,0.61,0.02,0,0.64,0.06,0,0	0.21,0.39,0.67,0.01,0,0.67,0,0,0	0,0.44,0,0.2,0.15,0.36,0.16,0.35,0	0.02,0.24,0.01,0.9,0.87,0.18,0.49,0.46,1	0.16,0.12,0.02,0.62,1,0,0.66,0.66,1	0.16,0.17,0,0.57,1,0,0.64,0.67,1
30	F	25	6	English	1,2,3,4,5,6,7,8,9	8,3,7,6,1,2,5,9,4	terrible,amazing,terrible,ok,amazing,amazing,ok,terrible,ok	ok,bad,ok,amazing,amazing,terrible,ok,good,amazing	0.14,1,1,0,0,1,0,1,0	4,2,4,5,5,1,4,4,5	0,1,0,0,0,1,0,0,0	0,1,0,0,0,1,0,0,0	0,1,0,0,0,1,0,0,0	0.59,0,0.48,0.01,0,0,0.51,0.48,0	0.5,0,0.52,0.5,0.52,0,0.53,0.49,0	0.59,0,1,1,1,0,1,1,1	0.59,0,1,1,1,0,1,1,1
31	F	35	6	english	1,2,3,4,5,6,7,8,9	4,3,5,6,2,8,1,9,7	ok,amazing,ok,ok,amazing,terrible,amazing,terrible,terrible	good,amazing,terrible,bad,terrible,amazing,bad,terrible,ok	0.76,0.01,0.63,0.69,0.96,0.92,0.97,0.03,0.88	2,5,3,3,5,2,5,1,1	0.7,0.02,0.81,0.66,0.97,0.02,0.97,0.59,0.37	0.57,0,0.85,0.63,0.96,0.02,0.99,0.7,0.31	0.54,0.03,0.78,0.53,0.01,0.01,0.97,0.69,0.46	0.24,0.12,0.76,0.37,0.98,0.2,0.01,0.73,0.31	0.36,0.96,0.15,0.44,0.02,0.96,0.01,0.21,0.19	0.19,0.93,0.14,0.3,0.02,0.8,0.01,0.14,0.11	0.25,0.94,0.13,0.33,0.01,0.98,0.01,0.08,0.46
32	M	35	6	English	1,2,3,4,5,6,7,8,9	2,3,1,8,4,6,9,7,5	amazing,amazing,amazing,terrible,ok,ok,terrible,terrible,ok	terrible,ok,bad,terrible,ok,good,ok,ok,good	0.95,0.73,0.73,0.11,0,0.04,0.68,0.03,0.12	5,5,4,3,2,4,1,1,4	0.04,0.03,0.1,0.41,0.49,0.15,0.83,0.77,0.14	0.03,0.06,0.01,0.44,0.55,0.14,0.81,0.81,0.12	0.07,0.01,0.14,0.28,0.47,0.12,0.79,0.83,0.14	0.48,0.47,0.4,0.21,0.3,0.44,0.35,0.22,0.45	0.23,0.23,0.42,0.11,0.27,0.32,0.24,0.19,0.45	0.68,0.8,0.69,0.17,0.12,0.47,0.11,0.1,0.59	0.63,0.77,0.73,0.08,0.12,0.55,0.12,0.06,0.51
33	F	55	4	English	1,2,3,4,5,6,7,8,9	7,2,3,8,5,4,1,6,9	terrible,amazing,amazing,terrible,ok,ok,amazing,ok,terrible	good,terrible,ok,terrible,ok,terrible,ok,terrible,bad	0.91,0.88,0.01,0.02,0.04,0.5,0.04,0.13,0	2,4,4,2,4,3,4,3,2	0.49,0.11,0.15,0.82,0.13,0.64,0.1,0.76,0.75	0.74,0.07,0.09,0.82,0.15,0.42,0.03,0.71,0.74	0.58,0.11,0.1,0.34,0.25,0.48,0.09,0.69,0.72	0.34,0.35,0.16,0.44,0.51,0.49,0.52,0.18,0.25	0.17,0.49,0.32,0.27,0.49,0.5,0.58,0.31,0.2	0.24,0.75,0.9,0.28,0.6,0.28,0.75,0.2,0.07	0.83,0.64,0.69,0.29,0.6,0.52,0.61,0.49,0.41
34	F	65	4	english	1,2,3,4,5,6,7,8,9	4,1,8,6,5,9,2,3,7	ok,amazing,terrible,ok,ok,terrible,amazing,amazing,terrible	amazing,good,good,amazing,bad,ok,ok,ok,terrible	0.04,0.01,0.99,0.02,0.01,0.68,0.01,0.13,0.01	5,5,2,4,2,1,5,5,1	0.01,0,0.49,0.01,0.7,0.49,0.01,0.01,0.61	0.01,0.01,0.99,0.01,0.7,0.47,0.01,0.01,0.98	0.01,0.01,0.47,0.01,0.01,0.01,0,0,0.01	0.01,0.01,0.02,0.01,0.01,0.01,0,0.01,0	0.98,0.99,0.01,0.88,0,0.01,0.99,0.98,0.01	0.99,0.98,0.01,0.73,0.01,0.01,0.99,0.99,0.02	0.99,0.99,0,0.59,0.02,0.03,0.99,0.99,0
