workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.imageIDs	Answer.imageCategories	Answer.utterances	Answer.stateRatings	Answer.probsSad	Answer.probsDisgusted	Answer.probsAngry	Answer.probsNeutral	Answer.probsContent	Answer.probsHappy	Answer.probsExcited
11	M	25	4	English	1,2,3,4,5,6,7,8,9	5,1,9,7,8,3,2,6,4	ok,amazing,terrible,terrible,terrible,amazing,amazing,ok,ok	good,amazing,bad,good,terrible,ok,terrible,good,good	4,5,2,1,2,5,5,4,3	0.26,0.06,0.68,0.44,0.47,0.27,0.17,0.22,0.44	0.25,0.09,0.35,0.32,0.43,0.22,0.14,0.16,0.12	0.18,0.01,0.53,0.54,0.39,0.18,0.16,0.15,0.29	0.29,0.14,0.44,0.39,0.26,0.25,0.35,0.28,0.57	0.74,0.85,0.19,0.14,0.07,0.44,0.72,0.57,0.3	0.63,0.78,0.12,0.19,0.08,0.61,0.74,0.7,0.22	0.62,0.83,0.15,0.15,0.2,0.67,0.65,0.69,0.18
12	M	25	4	english	1,2,3,4,5,6,7,8,9	1,7,8,3,5,9,4,2,6	amazing,terrible,terrible,amazing,ok,terrible,ok,amazing,ok	terrible,bad,terrible,amazing,good,bad,terrible,ok,ok	2,2,1,5,4,2,1,3,3	0.87,0.86,0.87,0.14,0.14,0.83,0.83,0.09,0.09	0.92,0.91,0.95,0.1,0.09,0.92,0.91,0.1,0.1	0.9,0.93,0.89,0.1,0.15,0.82,0.87,0.08,0.08	0.14,0.08,0.12,0.07,0.48,0.16,0.08,0.8,0.69	0.1,0.06,0.1,0.87,0.81,0.1,0.06,0.54,0.48	0.09,0.09,0.1,0.94,0.9,0.09,0.14,0.47,0.47	0.14,0.11,0.14,0.91,0.79,0.12,0.09,0.41,0.47
13	F	25	4	english	1,2,3,4,5,6,7,8,9	8,3,7,2,5,9,4,1,6	terrible,amazing,terrible,amazing,ok,terrible,ok,amazing,ok	good,amazing,good,bad,good,bad,amazing,good,bad	2,5,4,2,4,2,4,4,2	0.03,0.07,0.07,0.52,0.05,0.51,0.05,0.05,0.75	0.05,0.04,0.08,0.46,0.06,0.49,0.06,0.07,0.44	0.05,0.05,0.08,0.9,0.05,0.9,0.05,0.07,0.92	0.03,0.05,0.06,0.1,0.05,0.04,0.04,0.06,0.07	0.86,0.91,0.89,0.06,0.88,0.05,0.89,0.9,0.06	0.86,0.82,0.82,0.05,0.88,0.06,0.87,0.89,0.05	0.53,0.75,0.71,0.07,0.88,0.06,0.88,0.89,0.07
14	M	25	0	English	1,2,3,4,5,6,7,8,9	1,6,3,7,5,2,8,9,4	amazing,ok,amazing,terrible,ok,amazing,terrible,terrible,ok	bad,bad,terrible,ok,amazing,bad,amazing,bad,good	2,2,1,3,5,2,5,2,4	0.26,0.4,0.45,0,0,0.45,0,0.83,0	0.73,0.71,0.79,0,0,0.63,0.08,0.73,0	0.21,0.19,0.4,0,0,0.45,0,0.28,0	0,0,0,1,0,0,0,0,0	0.48,0.48,0.11,1,0.42,0.26,0.99,0,0.87	0.18,0.11,0.05,0.38,1,0.05,0.94,0.06,0.64	0.07,0.09,0.03,0.3,0.86,0.04,0.23,0,0.16
15	F	35	4	English	1,2,3,4,5,6,7,8,9	9,3,5,1,2,6,4,7,8	terrible,amazing,ok,amazing,amazing,ok,ok,terrible,terrible	amazing,terrible,bad,ok,amazing,ok,amazing,bad,terrible	5,1,2,3,5,3,5,2,1	0.77,0.81,0.71,0.41,0.04,0.49,0.02,0.99,1	0.58,0.17,0.76,0.11,0.01,0.34,0.01,0.99,0.99	0.2,0.83,0.85,0.46,0.02,0.49,0,0.99,1	0.46,0.3,0.25,0.89,0.22,0.98,0.2,0.01,0.02	0.19,0.18,0.22,0.63,1,0.31,1,0.01,0.02	0.78,0.12,0.26,0.49,0.98,0.48,0.98,0.02,0.02	0.6,0.2,0.19,0.57,1,0.3,0.99,0.01,0.03
16	M	45	4	English	1,2,3,4,5,6,7,8,9	7,4,6,8,5,3,1,9,2	terrible,ok,ok,terrible,ok,amazing,amazing,terrible,amazing	terrible,amazing,terrible,bad,terrible,good,bad,bad,good	1,5,1,2,1,4,2,2,4	0.95,0.05,0.96,0.81,0.92,0.01,0.75,0.92,0.03	0.94,0.05,0.95,0.8,0.9,0.01,0.76,0.93,0.02	0.95,0.01,0.01,0.03,0.01,0.01,0.04,0.7,0.01	0.04,0.01,0.97,0.76,0.98,0.97,0.82,0.94,0.98	0.01,0.96,0.02,0.16,0.05,0.95,0.27,0.06,0.98	0.04,0.95,0.02,0.17,0.05,0.95,0.26,0.07,0.98	0.11,0.99,0.12,0.17,0.06,0.93,0.12,0.06,0.95
17	F	35	6	English	1,2,3,4,5,6,7,8,9	4,8,1,7,3,5,6,2,9	ok,terrible,amazing,terrible,amazing,ok,ok,amazing,terrible	terrible,bad,amazing,good,good,amazing,bad,bad,bad	1,2,5,4,4,5,2,2,2	0.54,0.63,0,0.02,0.02,0.02,0.55,0.7,0.43	0.66,0.52,0.02,0.01,0.01,0.01,0.7,0.56,0.65	0.42,0.31,0.01,0,0.01,0.01,0.61,0.64,0.57	0.02,0,0,0.51,0.54,0.01,0.02,0.03,0	0.02,0.01,0.9,0.92,0.93,0.88,0.02,0.02,0.01	0.03,0.01,0.93,0.77,0.93,0.88,0.01,0.01,0.01	0.02,0,0.8,0.21,0.36,0.85,0.02,0.03,0.01
18	M	35	4	English	1,2,3,4,5,6,7,8,9	2,4,6,1,8,7,5,3,9	amazing,ok,ok,amazing,terrible,terrible,ok,amazing,terrible	amazing,terrible,ok,bad,ok,amazing,terrible,ok,terrible	5,1,3,2,3,5,1,3,1	0.04,0.76,0.41,0.68,0.35,0.07,0.72,0.41,0.83	0.04,0.64,0.31,0.64,0.38,0.08,0.59,0.16,0.8	0.05,0.54,0.29,0.49,0.28,0.08,0.38,0.19,0.68	0.22,0.34,0.94,0.31,0.89,0.13,0.26,0.72,0.23	0.67,0.29,0.45,0.2,0.48,0.7,0.29,0.45,0.25	0.93,0.14,0.42,0.11,0.44,0.86,0.02,0.25,0.03	0.96,0.1,0.38,0.1,0.46,0.87,0.03,0.21,0.07
19	M	25	4	English and Korean	1,2,3,4,5,6,7,8,9	2,6,3,9,8,7,1,5,4	amazing,ok,amazing,terrible,terrible,terrible,amazing,ok,ok	ok,bad,good,good,ok,amazing,amazing,amazing,bad	4,2,4,4,3,5,5,5,2	0.16,0.46,0.11,0,0.1,0,0,0,0.48	0.16,0.19,0.06,0,0.07,0,0,0,0.42	0.16,0.45,0.12,0,0.11,0,0,0,0.35	1,0.32,0,0,0.72,0,0,0,0	0.63,0.31,0.68,1,0.65,1,1,1,0.19	0.59,0.36,0.7,0.81,0.51,0.7,1,1,0.24	0,0.18,0.46,0.67,0.05,0.83,0.84,1,0.15
20	F	35	6	English	1,2,3,4,5,6,7,8,9	4,8,2,1,7,6,9,5,3	ok,terrible,amazing,amazing,terrible,ok,terrible,ok,amazing	terrible,terrible,bad,terrible,terrible,bad,bad,terrible,bad	1,1,2,1,1,2,2,1,2	0.78,0.79,0.87,0.85,0.88,0.85,0.81,0.84,0.75	0.58,0.75,0.82,0.84,0.77,0.84,0.76,0.78,0.73	0.78,0.64,0.71,0.85,0.86,0.77,0.81,0.78,0.74	0.34,0.16,0.41,0.32,0.43,0.51,0.44,0.46,0.44	0.02,0.2,0.04,0.04,0.06,0.06,0.06,0.07,0.09	0.04,0.12,0.06,0.08,0.05,0.06,0.07,0.07,0.08	0.08,0.08,0.02,0.16,0.14,0.19,0.09,0.12,0.09
21	M	25	4	english	1,2,3,4,5,6,7,8,9	8,5,6,2,4,3,1,7,9	terrible,ok,ok,amazing,ok,amazing,amazing,terrible,terrible	ok,good,good,terrible,good,amazing,ok,good,ok	2,4,4,1,4,5,4,4,4	0.39,0,0,0,0.37,0,0.16,0.34,0.38	0.53,0,0.01,0.24,0.28,0.28,0.02,0.22,0.39	0.42,0,0,0.49,0.43,0.29,0.05,0.33,0.39	0.51,0.58,0.46,0.48,0.45,0.21,0.32,0.32,0.36	0.62,0.6,0.49,0.53,0.38,0.35,0.4,0.43,0.33	0.31,0.55,0.62,0.19,0.22,0.33,0.61,0.32,0.25	0.35,0.83,0.65,0.52,0.47,0.22,0.41,0.28,0.2
22	M	25	4	english	1,2,3,4,5,6,7,8,9	7,3,1,4,5,8,6,2,9	terrible,amazing,amazing,ok,ok,terrible,ok,amazing,terrible	bad,amazing,good,ok,ok,bad,bad,ok,bad	2,5,4,3,3,2,2,3,2	0.78,0,0,0,0,0.34,0.23,0.01,0.27	0.83,0,0,0,0,0.54,0.33,0,0.3	0.63,0,0,0,0,0.33,0.23,0.01,0.27	0,0.18,0.24,1,1,0,0.17,0.51,0.15	0.22,0.36,0.38,0.51,0.47,0.09,0.52,0.51,0.07	0,0.8,0.74,0.53,0.47,0,0,0,0	0,0.6,0.58,0.1,0.04,0,0,0,0
23	M	35	4	english	1,2,3,4,5,6,7,8,9	5,8,7,4,3,2,9,6,1	ok,terrible,terrible,ok,amazing,amazing,terrible,ok,amazing	bad,ok,terrible,ok,terrible,good,bad,amazing,amazing	4,3,2,3,1,4,4,3,4	0.51,0.59,0.54,0.64,0.42,0.71,0.72,0.73,0.68	0.29,0.57,0.67,0.69,0.4,0.64,0.79,0.78,0.75	0.56,0.68,0.47,0.51,0.4,0.65,0.56,0.53,0.48	0.66,0.49,0.43,0.56,0.51,0.54,0.6,0.59,0.61	0.66,0.65,0.41,0.47,0.45,0.57,0.52,0.45,0.53	0.53,0.49,0.53,0.59,0.52,0.57,0.69,0.69,0.68	0.61,0.67,0.64,0.67,0.51,0.73,0.75,0.75,0.71
24	F	35	8	English	1,2,3,4,5,6,7,8,9	1,3,9,8,4,2,7,5,6	amazing,amazing,terrible,terrible,ok,amazing,terrible,ok,ok	ok,amazing,ok,amazing,bad,terrible,amazing,ok,amazing	2,5,3,4,2,1,5,3,5	1,0,0,0,0.48,0.99,0,0,0	0.08,0,0,0,0.23,0.44,0,0,0	0.08,0,0,0,0.3,0.97,0.03,0.01,0	0.46,0,0.49,0,0,0.01,0.02,1,0	0.06,1,0.53,1,0,0.04,0.99,0.46,0.99	0.04,1,0.53,1,0,0,0.99,0.5,0.98	0.07,1,0,1,0,0,0.96,0,1
25	F	35	6	English	1,2,3,4,5,6,7,8,9	6,9,5,1,7,3,8,2,4	ok,terrible,ok,amazing,terrible,amazing,terrible,amazing,ok	bad,good,ok,ok,bad,terrible,ok,ok,good	2,4,3,3,2,1,3,3,4	0.68,0.14,0.36,0.12,0.67,0.73,0.32,0.17,0.17	0.6,0.11,0.08,0.06,0.83,0.98,0.05,0.03,0.05	0.27,0.23,0.07,0.06,0.63,0.91,0.04,0.04,0.11	0.34,0.17,0.9,0.97,0.31,0.28,0.87,0.86,0.59	0.23,0.81,0.64,0.6,0.14,0.06,0.7,0.66,0.84	0.28,0.81,0.64,0.54,0.1,0.05,0.32,0.29,0.67	0.15,0.67,0.12,0.12,0.03,0.05,0.06,0.07,0.6
26	F	45	8	English	1,2,3,4,5,6,7,8,9	8,9,6,2,1,7,5,3,4	terrible,terrible,ok,amazing,amazing,terrible,ok,amazing,ok	good,bad,ok,amazing,bad,amazing,good,terrible,good	4,2,4,5,2,5,4,1,4	0.02,0.48,0.03,0.02,0.43,0,0.01,0.57,0.01	0.02,0.29,0,0,0.15,0.03,0.03,0,0.02	0.02,0.3,0.03,0,0.34,0.02,0.02,0.22,0.02	0.02,0.07,0.47,0,0.49,0.04,0.39,0.4,0.17	0.83,0.12,0.51,0.97,0.02,0.86,0.59,0.01,0.6	0.81,0.04,0.41,0.91,0.09,0.88,0.57,0.08,0.64	0.69,0.01,0.29,0.92,0.04,0.94,0.46,0.04,0.46
27	M	35	0	english	1,2,3,4,5,6,7,8,9	6,7,8,1,5,4,9,2,3	ok,terrible,terrible,amazing,ok,ok,terrible,amazing,amazing	amazing,amazing,amazing,ok,amazing,bad,amazing,ok,amazing	5,2,3,4,4,4,1,5,5	0.04,0.14,0.32,0.07,0.2,0.17,0.9,0.17,0.09	0.04,0.86,0.52,0.1,0.11,0.29,0.83,0.18,0.11	0.06,0.9,0.47,0.11,0.23,0.68,0.79,0.17,0.05	0.47,0.37,0.43,0.64,0.55,0.55,0.51,0.35,0.16	0.93,0.23,0.52,0.85,0.79,0.71,0.46,0.94,0.89	0.93,0.15,0.51,0.94,0.9,0.85,0.89,0.97,0.94	0.95,0.13,0.6,0.93,0.84,0.91,0.28,0.81,0.86
28	M	35	4	English	1,2,3,4,5,6,7,8,9	2,9,3,5,7,8,6,1,4	amazing,terrible,amazing,ok,terrible,terrible,ok,amazing,ok	ok,bad,bad,ok,good,amazing,amazing,good,ok	3,2,2,3,4,5,5,4,3	0.48,0.83,0.7,0.02,0.11,0.05,0.03,0.02,0.12	0.22,0.69,0.59,0.01,0.1,0.05,0.02,0.01,0.03	0.01,0.52,0.28,0.01,0.06,0.05,0.03,0.01,0.02	0.97,0.09,0.01,0.98,0.16,0.06,0.28,0.33,0.91	0.48,0.08,0,0.32,0.51,0.55,0.8,0.68,0.13	0.48,0.05,0.03,0.48,0.73,0.86,0.99,0.67,0.21	0.3,0.1,0.01,0.15,0.52,0.72,0.99,0.51,0.14
29	F	55	4	English	1,2,3,4,5,6,7,8,9	3,6,4,1,5,7,2,9,8	amazing,ok,ok,amazing,ok,terrible,amazing,terrible,terrible	amazing,good,amazing,ok,good,terrible,amazing,terrible,ok	5,4,5,3,4,1,5,1,3	0,0.09,0,0.15,0,0.2,0,0.2,0.14	0,0,0,0.06,0,0.29,0,0.45,0	0,0,0,0.16,0,0.56,0,0.63,0.04	0,0.33,0,0.84,0.41,0,0,0,0.47	0.98,1,1,0.43,1,0,1,0,0.54	0.98,0.61,1,0.39,0.85,0,1,0,0.46	0.98,0.6,1,0.36,0.71,0,1,0,0.06
30	M	45	11	English	1,2,3,4,5,6,7,8,9	9,5,4,7,3,6,8,2,1	terrible,ok,ok,terrible,amazing,ok,terrible,amazing,amazing	ok,ok,amazing,terrible,amazing,bad,ok,good,ok	4,4,5,1,5,2,4,4,4	0.34,0.2,0.01,0.87,0.01,0.82,0.2,0.19,0.09	0.33,0.23,0.01,0.95,0.01,0.87,0.25,0.19,0.08	0.27,0.12,0.02,0.82,0.02,0.77,0.17,0.19,0.08	0.88,0.89,0.01,0.19,0.05,0.27,0.82,0.29,0.65	0.66,0.64,0.99,0.09,0.98,0.1,0.67,0.83,0.78	0.66,0.73,0.98,0.06,0.97,0.06,0.64,0.82,0.77	0.51,0.59,0.97,0.07,0.97,0.06,0.57,0.77,0.75
31	F	25	4	English	1,2,3,4,5,6,7,8,9	5,4,8,9,1,3,2,7,6	ok,ok,terrible,terrible,amazing,amazing,amazing,terrible,ok	bad,ok,terrible,bad,amazing,amazing,bad,good,good	3,3,1,2,5,5,2,4,4	0.82,0.14,0.58,0.77,0.06,0.12,0.29,0.2,0.22	0.48,0.11,0.23,0.58,0.12,0.18,0.36,0.22,0.26	0.65,0.12,0.34,0.66,0.04,0.1,0.5,0.21,0.25	0.55,0.84,0.2,0.19,0.33,0.37,0.52,0.54,0.73	0.1,0.68,0.13,0.12,0.92,0.79,0.21,0.56,0.67	0.17,0.6,0.2,0.12,0.83,0.76,0.34,0.6,0.55	0.24,0.28,0.18,0.41,0.92,0.93,0.11,0.36,0.49
32	M	35	8	English	1,2,3,4,5,6,7,8,9	3,4,1,5,7,6,8,2,9	amazing,ok,amazing,ok,terrible,ok,terrible,amazing,terrible	terrible,amazing,bad,ok,bad,amazing,good,amazing,bad	1,5,2,3,2,5,4,5,2	0.68,0,0.85,0,0.08,0,0,0,0	0.66,0,0.48,0,0.18,0,0,0.02,0.01	0.67,0,0.89,0,0.22,0.02,0,0,0	0.13,0,0,0.49,0.16,0.01,0.44,0.02,1	0.07,1,0,0.27,0.18,1,0.61,0.95,0	0,1,0,0.11,0.09,1,0.63,1,0	0.06,1,0,0.14,0.11,1,0.29,0.96,0
33	M	45	6	english	1,2,3,4,5,6,7,8,9	1,8,7,9,3,6,2,4,5	amazing,terrible,terrible,terrible,amazing,ok,amazing,ok,ok	bad,terrible,bad,terrible,bad,bad,bad,good,terrible	2,1,2,2,2,2,3,4,1	0.73,0.8,0.21,1,0.03,0.62,0.46,0.02,0.59	0.72,0.93,0.23,1,0.04,0.49,0.36,0.05,0.51	0.5,1,0.27,1,0.03,0.38,0.54,0.04,0.74	0.07,1,0.99,0,0.49,0.21,0.18,0.04,0.08	0.02,0,0.07,0.16,0.81,0.09,0.16,0.73,0.06	0,0.03,0.05,0.1,0.93,0.29,0.11,0.94,0.12	0.06,0.16,0.02,0.08,0.68,0.28,0.31,1,0.23
34	F	65	4	English	1,2,3,4,5,6,7,8,9	4,8,3,7,6,1,2,9,5	ok,terrible,amazing,terrible,ok,amazing,amazing,terrible,ok	terrible,ok,good,bad,ok,terrible,bad,ok,good	1,3,4,2,3,1,2,3,4	0.78,0.38,0.08,0.77,0.1,0.98,0.74,0.48,0.09	0.89,0.05,0.04,0.86,0.11,0.92,0.74,0.49,0.08	0.83,0.04,0.02,0.49,0.02,0.89,0.75,0.48,0.09	0.05,0.82,0.16,0.04,0.49,0.02,0.02,0.48,0.02	0.04,0.38,0.87,0.07,0.51,0.02,0.01,0.48,0.83	0.03,0.43,0.86,0,0.49,0.01,0.01,0.11,0.81	0.03,0.05,0.51,0.02,0.03,0.01,0.01,0.02,0.67
35	M	35	6	English	1,2,3,4,5,6,7,8,9	3,8,5,4,2,1,6,9,7	amazing,terrible,ok,ok,amazing,amazing,ok,terrible,terrible	amazing,amazing,terrible,good,ok,ok,good,ok,good	5,5,1,4,4,3,4,3,4	0,0.21,0.47,0.11,0.01,0.02,0.01,0.01,0.01	0.01,0.15,0.38,0.01,0.01,0.01,0.01,0.01,0	0.02,0.07,0.31,0.08,0.06,0.12,0.19,0.03,0.13	0.19,0.22,0.44,0.46,0.41,0.48,0.48,0.44,0.47	0.98,0.68,0.54,0.54,0.95,0.76,0.77,0.68,0.72	0.98,0.51,0.57,0.48,0.53,0.54,0.56,0.45,0.58	0.98,0.46,0.49,0.4,0.51,0.48,0.52,0.38,0.47
36	M	35	4	english	1,2,3,4,5,6,7,8,9	4,6,5,7,3,8,1,9,2	ok,ok,ok,terrible,amazing,terrible,amazing,terrible,amazing	good,ok,good,good,ok,amazing,ok,amazing,bad	4,3,4,4,3,5,3,5,2	0.02,0.02,0.02,0.03,0.05,0.02,0.02,0.04,0.8	0.03,0.04,0.03,0.03,0.04,0.01,0.02,0.06,0.41	0.03,0.01,0.01,0.03,0.04,0.02,0.01,0.03,0.35	0.21,0.52,0.02,0.05,0.53,0.02,0.51,0.07,0.13	0.72,0.51,0.45,0.48,0.44,0.3,0.5,0.51,0.08	0.66,0.25,0.72,0.67,0.18,0.72,0.19,0.63,0.04	0.47,0.23,0.7,0.63,0.19,0.85,0.2,0.74,0.06
37	M	35	8	english	1,2,3,4,5,6,7,8,9	2,7,3,5,8,4,1,6,9	amazing,terrible,amazing,ok,terrible,ok,amazing,ok,terrible	good,good,ok,bad,bad,good,good,good,terrible	4,4,4,2,2,4,4,4,1	0,0,0.01,0.49,0.48,0.04,0.01,0.01,0.83	0,0.03,0,0.73,0.81,0.04,0.02,0.02,0.72	0,0.03,0.03,0.48,0.49,0.01,0.02,0.03,0.44	0.48,0.49,0.68,0,0,0.49,0.53,0.49,0	1,1,0.99,0.13,0.03,0.98,0.97,0.97,0.02	1,0.98,0.95,0,0.04,0.98,0.98,0.98,0.01	1,0.52,0.48,0.01,0.01,0.86,0.97,0.74,0.03
