punType,sentenceID,sentenceType,ambiguity,m1KL,m1Focus,m2Focus,m2KL,distinctiveness
identical,41,pun,0.011626049,2.367213001,knot;boyscouts;ropes;tie,,7.779401492,10.14661449
identical,42,pun,8.58E-05,1.580013176,wood;trees,ask;ask,6.914943482,8.494956658
identical,43,pun,0.514485536,2.104677034,grader;cheese;person;school,cheddar;cheese;colby,7.166986934,9.271663968
identical,44,pun,0.365828453,1.656470068,eye;blind;see,,6.955101696,8.611571764
identical,45,pun,7.71E-05,1.349812563,cell;biology,keep;program,6.610191353,7.960003916
identical,46,pun,0.000189526,2.138873743,scent;smell,cost,7.350526857,9.4894006
identical,47,pun,2.13E-05,1.393123852,course;class;rough,rough,6.482522555,7.875646407
identical,48,pun,0.125129274,0.736571144,deer;pet,pet,5.852573685,6.589144829
identical,49,pun,0.634978882,1.354632455,bee;hive,,6.638807449,7.993439904
identical,50,pun,0.016026313,0.76756076,brake;careful;fast,careful;fast;run,5.882952691,6.650513451
identical,51,pun,0.007827198,2.358969956,flour;chef;pastry,brought;day;girlfriend;valentine's,7.590441986,9.949411942
identical,52,pun,0.685723498,1.087047933,fare;driver;toll,toll,6.234348504,7.321396437
identical,53,pun,0.019716862,1.273038092,heel;foot;injured,injured,6.458108194,7.731146286
identical,54,pun,0.279216917,1.332146401,hymn;perform;priest;song;wrote,perform;priest,6.573722572,7.905868973
identical,55,pun,5.15E-06,0.767367196,no's;mother,best;mother,5.882912081,6.650279277
identical,56,pun,0.231152268,1.370359594,inn;hotel;sleep;stayed,stayed,6.627463882,7.997823476
identical,57,pun,0.001317159,1.43577133,idol;celebrity;want,time,6.62912332,8.06489465
identical,58,pun,0.470869445,1.022010543,maid;clean,up,6.182490734,7.204501277
identical,59,pun,0.000294404,1.298199038,nun;cared;church,,6.477030915,7.775229953
identical,60,pun,0.004135479,1.730112403,mourning;cried,up;woke,6.839090366,8.569202769
identical,61,pun,0.47522548,1.281632254,meat;butcher,glad,6.524883948,7.806516202
identical,62,pun,0.53860296,1.322922614,reel;caught;fisherman,believe,6.465880598,7.788803212
identical,63,pun,5.98E-05,1.33209175,pear;farmer;fruit;grow,,6.549659046,7.881750796
identical,64,pun,0.628940161,1.454631353,pray;parish,birds;birds,6.606672415,8.061303768
identical,65,pun,0.01075456,1.961733279,root;farm;tree,different;take;way,7.047106787,9.008840066
identical,66,depunned,0.543615272,1.105935556,prophet;organization,non;organization,6.194633996,7.300569552
identical,67,depunned,0.004194543,0.906726921,pi,large;waistline,6.024131354,6.930858275
identical,68,depunned,0.014313745,1.34644404,knead;cake;recipes,basis;mothers;trade,6.479548592,7.825992632
identical,69,depunned,1.47E-05,2.185140537,oar,choose;either;indecisive;not,7.140836136,9.325976673
identical,70,depunned,0.17815301,1.164083662,tiers;wedding,emotional;mother-in-law;wedding,6.213445099,7.377528761
identical,71,depunned,5.90E-13,1.064539619,poll;conduct;decided;gallup,gallup,6.194120723,7.258660342
identical,72,depunned,0.499114951,1.575301724,bored,chairman;executive,6.519776627,8.095078351
identical,73,depunned,1.63E-08,0.778119123,greece;dolmas,,5.893476559,6.671595682
identical,74,depunned,0.170716994,0.923466728,sine,prayed,6.04610987,6.969576598
identical,75,depunned,0.003396669,0.81291446,principal;just,church;disliked;just,5.922980229,6.735894689
identical,76,depunned,2.92E-07,0.932817533,cd;stores,,6.05587619,6.988693723
identical,77,depunned,0.027596247,1.022901662,hare,pulled,6.136943688,7.15984535
identical,78,depunned,0.612130859,0.992221086,knotty,admonished;boy;young,6.113300431,7.105521517
identical,79,depunned,0.048608956,1.467620369,taut,learn;skateboard;tricks,6.483145633,7.950766002
identical,80,depunned,0.010026962,0.954790993,marx;class,class;math,6.078584284,7.033375277
identical,81,depunned,0.190013346,0.798734836,hi,risks,5.913014139,6.711748975
identical,82,depunned,0.506137575,1.46835302,daze,school;time;tough,6.509853992,7.978207012
identical,83,depunned,0.077234139,1.296110702,prose,bankers;cons,6.335902562,7.632013264
identical,84,depunned,0.689908203,0.797696339,plane;food,fancy;food,5.910958235,6.708654574
identical,85,depunned,0.00539906,0.846285547,dam,horror,5.961731024,6.808016571
identical,86,depunned,0.008675708,0.706522084,hertz,,5.820530882,6.527052966
identical,87,depunned,2.41E-06,0.910198207,role;directors;movie,directors;movie,6.054902792,6.965100999
identical,88,depunned,0.637949974,1.44004234,collar;id;man;pocket;shirt,id;man;name,6.617253905,8.057296245
identical,89,depunned,0.640558806,0.802010901,steal,bodybuilders,5.918806323,6.720817224
identical,90,depunned,0.358150764,0.726599669,dye,,5.841089614,6.567689283
identical,91,depunned,0.693024961,1.163258481,waist,cardboard;paper,6.275782278,7.439040759
identical,92,depunned,0.000543762,1.156624884,feet;fourteen;pants;size,able,6.269102188,7.425727072
identical,93,depunned,0.06533231,1.027135968,aloud;say,wanted,6.17281919,7.199955158
identical,94,depunned,0.000150924,0.848742808,pail;carry,,5.969834975,6.818577783
identical,95,depunned,0.037686376,0.89189225,manor;family,family;speaking,6.004671782,6.896564032
identical,96,depunned,4.88E-05,1.733789196,cache;online,chips;poker;tournament,6.828453671,8.562242867
identical,97,depunned,0.000193811,2.13501976,reign;britain;long,autumn;britain;wet,7.037143667,9.172163427
identical,98,depunned,0.236842992,1.60504433,thyme;gardeners;tomato,extra;work,6.75830529,8.36334962
identical,99,depunned,0.001301702,1.065426263,pore,bad;excuse,6.185627044,7.251053307
identical,100,depunned,0.26651069,0.939091786,gilt,complex;people,6.046098505,6.985190291
identical,101,depunned,0.00027338,1.072860388,heir,careless,6.14027881,7.213139198
identical,102,depunned,0.001320359,0.764659109,son;only,,5.87631521,6.640974319
identical,103,depunned,0.000125835,1.160494452,c's,high;terrible,6.247055857,7.407550309
identical,104,depunned,0.129722326,2.219156715,watt;bright;spark,knows;what's,7.263135231,9.482291946
identical,105,depunned,0.680908089,1.018398521,razor,fund,6.130395558,7.148794079
identical,106,nonpun,2.81E-07,1.511324866,prophet;biblical;daniel;dreams;interpreting;known,biblical,6.686699003,8.198023869
identical,107,nonpun,1.06E-08,1.62130473,pi;decimal;number,,6.993753635,8.615058365
identical,108,nonpun,0.00077876,2.114855341,knead;bakers;bread;dough;flour;make;together,make,7.514646486,9.629501827
identical,109,nonpun,0.002585664,1.832172773,oar;dipped;fisherman;river,,7.074998323,8.907171096
identical,110,nonpun,0.000314724,1.254955906,tiers;boxes;stacked,,6.409932211,7.664888117
identical,111,nonpun,4.77E-08,1.653334106,poll;candidates;conducted;political;pollsters;popularity,candidates;pollsters,6.91706472,8.570398826
identical,112,nonpun,1.23E-09,1.015209886,bored;alone;man;tears;time,,6.132360301,7.147570187
identical,113,nonpun,2.48E-09,1.626835475,greece;country;europe;southern,,6.892479401,8.519314876
identical,114,nonpun,1.33E-06,0.865833971,sine;angle;function;function;mathematics,function;function;mathematics,5.991397014,6.857230985
identical,115,nonpun,5.26E-06,0.768550068,principal;high;local;school,high;school,5.894521096,6.663071164
identical,116,nonpun,1.16E-13,1.54677883,cd;bought;classical;music;new,,6.757659051,8.304437881
identical,117,nonpun,1.44E-05,1.071850617,hare;fields;ran;rapidly,,6.18093334,7.252783957
identical,118,nonpun,0.003245546,0.761027515,knotty,,5.872066188,6.633093703
identical,119,nonpun,2.44E-06,0.966177014,taut;clothesline;hangs,,6.076684719,7.042861733
identical,120,nonpun,1.68E-08,1.495957407,marx;german;karl;philosopher,german,6.736095706,8.232053113
identical,121,nonpun,3.78E-06,1.197911637,hi;say;waved,,6.394733803,7.59264544
identical,122,nonpun,0.000552088,0.878793237,daze,bad;news,5.994201588,6.872994825
identical,123,nonpun,1.71E-09,1.616689284,prose;essays;novels;written,,6.837095731,8.453785015
identical,124,nonpun,8.91E-12,1.47121315,plane;airport;landed,,6.704620255,8.175833405
identical,125,nonpun,4.53E-10,1.384391421,dam;beaver;building;logs;sticks,beaver,6.58932876,7.973720181
identical,126,nonpun,5.23E-08,1.442254301,hertz;computer;mega;processing;speed,,6.585404183,8.027658484
identical,127,nonpun,5.16E-12,1.130943859,role;leading;plays;show;television,plays,6.25063775,7.381581609
identical,128,nonpun,3.15E-07,1.365278929,collar;dog;walking,,6.572971523,7.938250452
identical,129,nonpun,1.13E-05,0.945803204,steal;wanted,,6.053627212,6.999430416
identical,130,nonpun,0.003963874,1.543359815,dye;hair,people,6.690196587,8.233556402
identical,131,nonpun,9.95E-10,1.438615809,waist;belt;small;tiny,,6.630378841,8.06899465
identical,132,nonpun,6.02E-11,1.316769804,feet;hurting;shoes,,6.522551854,7.839321658
identical,133,nonpun,1.29E-11,1.026124397,aloud;poem;read,,6.152654653,7.17877905
identical,134,nonpun,4.69E-06,1.187067783,pail;clean;filled;water,clean,6.354854682,7.541922465
identical,135,nonpun,1.17E-06,1.218126271,manor;huge;live;people;wealthy,people,6.377201699,7.59532797
identical,136,nonpun,3.65E-08,1.167741472,cache;database;pages;stored;web,,6.299736111,7.467477583
identical,137,nonpun,4.85E-11,1.686379352,reign;ended;heir;king's,,6.939103391,8.625482743
identical,138,nonpun,0.011927642,1.482173385,thyme;chicken;flavored;meals;sauce,meals,6.594012668,8.076186053
identical,139,nonpun,0.002220325,1.766460739,pore;opening;skin;small;surface,small;very,7.009780736,8.776241475
identical,140,nonpun,0.000286981,0.693626266,gilt;frame,frame,5.807366858,6.500993124
identical,141,nonpun,1.94E-09,2.048323464,heir;british;prince;throne;william,,7.343960473,9.392283937
identical,142,nonpun,4.13E-07,1.241789468,son;daughter,,6.470058975,7.711848443
identical,143,nonpun,0.331988908,1.165404549,c's,high,6.253725128,7.419129677
identical,144,nonpun,2.86E-09,2.610391874,watt;bulb;lamp;light;sixty,,8.040027509,10.65041938
identical,145,nonpun,1.13E-10,1.854425688,razor;beard;shave;used,,7.179921357,9.034347045
identical,146,nonpun,1.71E-05,1.632053177,knot;double;tie,,6.868032726,8.500085903
identical,147,nonpun,0.000117727,1.332314912,wood;trees,,6.657705272,7.990020184
identical,148,nonpun,7.15E-08,1.583570732,grader;score;tests,,6.784849497,8.368420229
identical,149,nonpun,2.25E-05,1.095004646,eye;poked,,6.223885074,7.31888972
identical,150,nonpun,7.68E-06,1.337321186,cell;biology,works,6.597599485,7.934920671
identical,151,nonpun,3.13E-08,0.889639658,scent;unpleasant,,5.996533397,6.886173055
identical,152,nonpun,1.10E-09,1.151244496,course;school;took,,6.331936228,7.483180724
identical,153,nonpun,0.004524276,1.121085946,deer;forest,,6.296924617,7.418010563
identical,154,nonpun,1.74E-08,1.762801234,bee;angry;honey;stung,angry,7.122015691,8.884816925
identical,155,nonpun,0.028660944,1.093681473,brake;cars;slowly,cars,6.287034501,7.380715974
identical,156,nonpun,0.107220585,1.08135506,flour;baking,kinds,6.228083066,7.309438126
identical,157,nonpun,0.000107373,0.843886511,fare;paid,,5.974317793,6.818204304
identical,158,nonpun,7.93E-07,0.996934944,heel;bruised;walking,bruised;walking,6.155170689,7.152105633
identical,159,nonpun,8.83E-07,1.278804147,hymn;church;sang,church,6.501886846,7.780690993
identical,160,nonpun,0.000331957,0.772814776,no's;answered,answered,5.878221648,6.651036424
identical,161,nonpun,0.002207682,0.712139438,inn;stayed,stayed,5.826524731,6.538664169
identical,162,nonpun,1.72E-07,1.623146004,idol;famous;movie;star,,6.890098823,8.513244827
identical,163,nonpun,0.003686083,1.120954536,maid;clean;hired,,6.290204794,7.41115933
identical,164,nonpun,2.50E-05,1.144662077,nun;kind;pious,,6.268195437,7.412857514
identical,165,nonpun,6.86E-08,1.333786676,mourning;died;loved,,6.540487184,7.87427386
identical,166,nonpun,1.70E-06,0.906784046,meat;vegetarians,like,6.020146279,6.926930325
identical,167,nonpun,0.023583256,1.124878086,reel;fish,,6.321253035,7.446131121
identical,168,nonpun,0.000105404,1.230590972,pear;apples;ate,,6.394734917,7.625325889
identical,169,nonpun,1.06E-07,1.265997338,pray;bed;christians,,6.496274634,7.762271972
identical,170,nonpun,2.35E-10,1.104227241,root;tree's,,6.305545843,7.409773084
identical,171,nonpun,3.25E-10,2.236061122,profit;business;dollars;made;million;year,,7.618955902,9.855017024
identical,172,nonpun,5.34E-12,1.718465304,pie;apple;dessert,,7.038291885,8.756757189
identical,173,nonpun,5.04E-11,0.798142597,need;company,,5.908282826,6.706425423
identical,174,nonpun,2.36E-14,0.694492275,or,,5.808238526,6.502730801
identical,175,nonpun,2.74E-16,1.795120187,tears;cheeks;movie;sad,,7.063621347,8.858741534
identical,176,nonpun,2.39E-06,0.854566766,pole;flag;up,flag,5.986652745,6.841219511
identical,177,nonpun,1.37E-15,1.366226054,board;company's;directors;meeting,meeting,6.534153768,7.900379822
identical,178,nonpun,0.01310923,0.827909563,grease;plate,,5.94404513,6.771954693
identical,179,nonpun,7.32E-11,1.50363927,sign;boutique;says;store,,6.630292494,8.133931764
identical,180,nonpun,1.57E-05,0.729098573,principle;believe;physics,believe;physics,5.843817435,6.572916008
identical,181,nonpun,6.75E-06,1.151513373,seedy;bar;drunken;unwashed,,6.252265873,7.403779246
identical,182,nonpun,9.47E-11,1.550998865,hair;heads;lots;people,,6.831438113,8.382436978
identical,183,nonpun,1.60E-13,0.892599176,naughty;boy;child,,6.003462774,6.89606195
identical,184,nonpun,9.33E-16,1.750135277,taught;college;mathematics;students,,6.964676828,8.714812105
identical,185,nonpun,3.09E-12,1.298236003,marks;high;high;school,,6.43132377,7.729559773
identical,186,nonpun,3.09E-12,1.034800976,high;feet;statue;ten,,6.147458195,7.182259171
identical,187,nonpun,4.74E-15,1.612766671,days;seven;week,,6.872280219,8.48504689
identical,188,nonpun,2.90E-11,1.201092919,pros;cons,,6.390929917,7.592022836
identical,189,nonpun,4.67E-06,0.7934366,plain;beautiful,,5.907283771,6.700720371
identical,190,nonpun,1.47E-08,0.751167487,damn,,5.862296572,6.613464059
identical,191,nonpun,1.96E-10,1.206859824,hurts;fell;leg,,6.356090755,7.562950579
identical,192,nonpun,0.000133559,0.76572622,roll,dress,5.88063039,6.64635661
identical,193,nonpun,9.33E-07,1.38895413,caller;bank;phone,,6.63407759,8.02303172
identical,194,nonpun,2.33E-09,0.965040936,steel;made;ship;wood,,6.083343472,7.048384408
identical,195,nonpun,1.25E-10,1.522270505,die;attack;heart;scared,,6.658043946,8.180314451
identical,196,nonpun,4.52E-11,0.870678598,waste;time,,5.989295512,6.85997411
identical,197,nonpun,4.35E-06,0.712712641,feat,,5.826011923,6.538724564
identical,198,nonpun,2.90E-10,0.808982311,allowed;use,,5.92085434,6.729836651
identical,199,nonpun,2.28E-12,0.879145401,pale;looks;sick,sick,5.998024842,6.877170243
identical,200,nonpun,1.10E-07,0.694648877,manner;food,food,5.808391889,6.503040766
identical,201,nonpun,9.44E-09,1.787053809,cash;bought;chips;stocks;ten,,6.956579448,8.743633257
identical,202,nonpun,7.70E-12,0.776666453,rain;city;fell,city,5.891866791,6.668533244
identical,203,nonpun,2.03E-13,1.194647475,time;lunch;meeting,,6.326612778,7.521260253
identical,204,nonpun,1.59E-13,1.179856536,poor;afford;buy;cannot;family,,6.285038009,7.464894545
identical,205,nonpun,3.33E-12,1.544764663,guilt;accused;innocence;jury;person,,6.723299445,8.268064108
identical,206,nonpun,1.89E-07,0.702253998,err,,5.815956161,6.518210159
identical,207,nonpun,6.37E-11,2.264575642,sun;evening;morning;rises;sets,,7.542844381,9.807420023
identical,208,nonpun,4.60E-17,1.92649529,seas;high;mid-atlantic;ship,,7.182516312,9.109011602
identical,209,nonpun,1.04E-10,0.731521498,what,,5.844010334,6.575531832
identical,210,nonpun,2.10E-10,1.103470395,raiser;fund,,6.22234563,7.325816025
identical,211,nonpun,2.35E-13,0.703574834,not,,5.817077368,6.520652202
identical,212,nonpun,4.29E-15,0.966815517,would;let;not,,6.070051335,7.036866852
identical,213,nonpun,1.27E-11,1.229143754,grater;cheese;cheese;slices,cheese;cheese,6.450770862,7.679914616
identical,214,nonpun,9.31E-11,0.75940378,i;know,,5.871736786,6.631140566
identical,215,nonpun,5.81E-10,1.324413554,sell;car;good;price,,6.51872339,7.843136944
identical,216,nonpun,8.47E-08,1.102579584,cent;borrow;stingy,,6.215904844,7.318484428
identical,217,nonpun,6.94E-07,0.798551589,coarse;hair,,5.914319826,6.712871415
identical,218,nonpun,1.24E-12,1.069774134,dear;friend,,6.206202401,7.275976535
identical,219,nonpun,2.34E-13,0.708119616,be,,5.821375536,6.529495152
identical,220,nonpun,1.07E-12,0.910144889,break;leg;performance,performance,6.042781424,6.952926313
identical,221,nonpun,6.49E-14,2.153474294,flower;growing;picked;pretty;weeds,,7.430526896,9.58400119
identical,222,nonpun,1.48E-07,1.229282938,fair;game;not;rules,,6.36405332,7.593336258
identical,223,nonpun,1.31E-11,1.262314209,heal;time;wounds,,6.437094051,7.69940826
identical,224,nonpun,4.61E-14,0.736749404,him;john,,5.850387076,6.58713648
identical,225,nonpun,8.60E-20,0.949652983,knows;dictionary;word,word,6.060744296,7.010397279
identical,226,nonpun,6.68E-10,1.260867349,in;close;come;door;room,door;room,6.332013645,7.592880994
identical,227,nonpun,3.53E-09,0.981652695,idle;doing;just;sitting,,6.113482705,7.0951354
identical,228,nonpun,1.37E-11,0.908997291,made;cake,,6.029806628,6.938803919
identical,229,nonpun,3.01E-08,0.729411834,none,,5.842274853,6.571686687
identical,230,nonpun,3.94E-12,1.84037079,morning;shining;sun;up;woke,,7.13399105,8.97436184
identical,231,nonpun,1.40E-10,1.099637908,meet;able;finally;pals,,6.201193643,7.300831551
identical,232,nonpun,5.20E-13,1.49035719,real;counterfeit;diamond;just;very,,6.605374326,8.095731516
identical,233,nonpun,2.02E-11,1.771657022,pair;matching;socks,,7.111945722,8.883602744
identical,234,nonpun,1.19E-11,1.131820494,prey;eagle's;easily;mouse,eagle's,6.287901886,7.41972238
identical,235,nonpun,8.42E-08,1.464339253,route;faster;home;take;way,,6.652117909,8.116457162
